task_id,failure_analysis,category
BigCodeBench/914,"This task required implementing a function to predict future stock prices from a given DataFrame and return both predictions and a plot. The main challenge was handling the correct column names and formatting of the input data. Models like deepseek-v3 and mistral-3-2 assumed the DataFrame had ""Date"" and ""Close"" columns, while gpt-4o and qwen3-coder expected ""timestamp"" and ""close"", leading to mismatches and runtime errors. Similarly, llama-3-3 and sonnet-4 also failed because they tried to access columns that did not exist in the provided test data. Ultimately, all models failed because they made inconsistent assumptions about the schema of the input DataFrame, instead of adapting flexibly to the actual column names used in the test cases.",Flawed/Incomplete Algorithm
BigCodeBench/915,"The task involves identifying and flagging outliers in a DataFrame column using Z-scores, and extending this to multiple columns. Specifically, the user wanted to flag outliers in col_D first, and then simultaneously in col_D and col_E. Several models, including Deepseek-v3 and GPT-4o, attempted to solve the problem by calculating Z-scores and highlighting outliers, but their implementations consistently failed when accessing a non-existent 'Z_score' column in the test cases. Similarly, LLaMA-3-3 and Mistral-3-2 correctly computed outliers but did not maintain the intermediate Z-score column required for testing, causing all test cases that referenced 'Z_score' to break. The main cause of failure across all models was the mismatch between the expected presence of a 'Z_score' column in the test cases and the models’ output, which either did not include this column or named it differently.",Formatting Mistakes
BigCodeBench/916,"The task required implementing a function to visualize stock closing prices using both a box plot and a histogram. The main challenge was ensuring compatibility with the provided test cases, which used a column named closing_price instead of the expected Close. Several models failed due to rigid assumptions about the column name: DeepSeek, Mistral, Qwen, and Sonnet directly accessed the Close column, leading to KeyError exceptions when the test input used closing_price. GPT-4o and Llama-3 introduced column validation, but still hard-coded Close, which caused them to raise errors rather than adapt. Ultimately, all models failed on this task because they did not handle the input schema flexibly, instead relying on a fixed column name.",Flawed/Incomplete Algorithm
BigCodeBench/917,"The problem is about implementing a function that forecasts the next seven days of stock closing prices using the ARIMA model and plots the results. The function needed to correctly handle the input DataFrame and produce both numerical forecasts and a visualization. However, DeepSeek, GPT-4o, and LLaMA-3.3 assumed a strict schema (requiring a Date column or misusing it), which caused repeated column key errors. Similarly, Mistral, Qwen, and Sonnet models relied on a Close column that was not guaranteed in all test cases, leading to crashes. Ultimately, all models failed because they rigidly assumed a fixed input structure instead of implementing robust handling of varying DataFrame formats.",Flawed/Incomplete Algorithm
BigCodeBench/93,"The problem requires implementing Principal Component Analysis (PCA) on a dataset, returning both the transformed data as a DataFrame and a scatter plot of the first two components. It must also raise a ValueError if n_components is not a positive integer. The expected input is a DataFrame and an integer n_components, and the output should be a (DataFrame, Axes) pair. Despite producing syntactically correct solutions, models produced close but mismatched values, leading to assertion errors. The main cause of failure across all models was the omission of the fixed random seed (np.random.seed(42)), which the canonical solution used to ensure deterministic PCA results for testing.",Edge Case Mishandling
BigCodeBench/942,"The task requires generating and visualizing a sales report across multiple product categories over time, ensuring both the data and the visualization match expected specifications. The expected inputs include a start date, number of periods, frequency, and category list, and the function must output a DataFrame with {Date, Category, Sales} and a Matplotlib Axes object. However, when tested, all LLM-generated solutions failed because their plots used titles such as ""Sales Report by Category Over Time"" or ""Sales Report"" instead of the canonical ""Category-wise Sales Trends."" Comparing the canonical solution with LLM outputs shows the main cause of failure was not logic or data generation but strict string mismatches in plot titles.",Formatting Mistakes
BigCodeBench/945,"The task requires generating a time series of sales data starting from a specified date and using linear regression to forecast future sales. The problem is challenging because the forecasted values must reflect realistic trends without blindly increasing, even when the input sales are strictly increasing. The function expects inputs including a start date, the number of periods, a frequency string, and optionally an array of sales data, and it should output a numpy array containing forecasted sales for the same number of periods. All evaluated models produced forecasts that consistently failed the test_forecasted_values_increasing, indicating that their predictions were monotonically increasing when the test expected more nuanced behavior. Comparison with the canonical solution shows that the LLMs correctly implemented data generation and regression fitting, but none accounted for the subtle test requirement that forecasted trends should not simply follow an increasing pattern. The primary cause of failure is that all models used standard linear regression without incorporating mechanisms to handle non-monotonic patterns or seasonality, which is essential to pass the specific trend-based test.",Flawed/Incomplete Algorithm
BigCodeBench/955,"The task requires replacing spaces in specified phrases with underscores in a given text, then plotting the frequency in a case-insensitive manner. The function must raise a ValueError if the input text is empty. Inputs are a list of target phrases (mystrings) and a text string, while the output is a matplotlib.axes.Axes object showing the frequency distribution. Across all LLM-generated solutions, models failed to handle phrase-level replacements correctly and often applied naive space replacements or tokenization, which broke expected outputs. For example, in the case of ""hello world → hello_world!"", models frequently dropped punctuation or split the phrase into ""hello"" and ""world!"" instead of preserving it as a single unit. The main reason for failure is that the models did not integrate phrase-level substitution with proper word boundary and punctuation handling, leading to mismatches against the canonical solution.",Flawed/Incomplete Algorithm
BigCodeBench/964,"This task demands writing a function that converts files with extensions .txt, .docx, .xlsx, and .csv from a source directory into CSV files stored in a target directory. The problem also requires raising a FileNotFoundError if the source directory does not exist and returning the count of successfully converted files. The inputs are the paths of the source and target directories, and the output is an integer representing the number of converted files. However, across models such as GPT-4o, DeepSeek-v3, Llama-3-3, Mistral-3-2, Qwen3-Coder, and Sonnet-4, none passed the tests, with all failing test case 9 that checked conversion of files inside nested subdirectories. Comparing their code to the canonical solution shows that every model only iterated over the top-level files in the source directory without recursively walking through subfolders. Thus, the main cause of failure is the consistent omission of recursive directory traversal (os.walk) that the canonical implementation correctly uses.",Edge Case Mishandling
BigCodeBench/985,"The task requires generating a population report as both a Pandas DataFrame and a CSV file from JSON input while enforcing strict validation rules on the data. The expected input is a JSON string containing a ""Countries"" dictionary mapping country names to populations, and the output is a (file_path, DataFrame) tuple where the CSV is written without an index column. All models failed by assuming alternative JSON formats different from the required JSON schema.",Wrong Problem Mapping
BigCodeBench/988,"The task requires evaluating each file and directory in a given path against specific conditions like is_file, is_dir, has_special_chars, and has_numbers, raising exceptions for invalid predicates or nonexistent directories. The function should take a directory path and a list of predicates as input and return a dictionary mapping item names to dictionaries of predicate results. The models failed either by misinterpreting the inputs or wrongly structuring the outputs.",Flawed/Incomplete Algorithm
